,ISBN,User-ID,Book-Title,Book-Author,Publisher,Book-Rating,Image-URL-M
0,0688092292,85280.0,Beware the Naked Man Who Offers You His Shirt,Harvey Mackay,Harpercollins,5.0,http://images.amazon.com/images/P/0688092292.01.MZZZZZZZ.jpg
1,042517400X,103304.0,"Night Moves (Tom Clancy's Net Force, No. 3)",Tom Clancy,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/042517400X.01.MZZZZZZZ.jpg
2,0451191153,204676.0,The Fountainhead,Ayn Rand,New American Library,10.0,http://images.amazon.com/images/P/0451191153.01.MZZZZZZZ.jpg
3,0679747699,165806.0,The One-Room Schoolhouse: Stories About the Boys (Vintage Contemporaries),Jim Heynen,Vintage Books USA,0.0,http://images.amazon.com/images/P/0679747699.01.MZZZZZZZ.jpg
4,0679420339,140000.0,The Tin Drum (Everyman's Library Series),Gunter Grass,Everyman's Library,0.0,http://images.amazon.com/images/P/0679420339.01.MZZZZZZZ.jpg
5,0553148923,209536.0,Still Life With Woodpecker,Tom Robbins,Bantam Doubleday Dell,0.0,http://images.amazon.com/images/P/0553148923.01.MZZZZZZZ.jpg
6,0671641379,9417.0,"Wings of Fear (Nancy Drew Files, Case No 13)",Carolyn Keene,Pocket Books,7.0,http://images.amazon.com/images/P/0671641379.01.MZZZZZZZ.jpg
7,068483720X,11687.0,Your Mental Health: A Layman's Guide to the Psychiatrist's Bible,Allen Frances,Scribner,7.0,http://images.amazon.com/images/P/068483720X.01.MZZZZZZZ.jpg
8,0394866037,235105.0,The Berenstain Bears' Science Fair (Berenstain Bears (Paperback)),Stan Berenstain,Random House Children's Books,0.0,http://images.amazon.com/images/P/0394866037.01.MZZZZZZZ.jpg
9,0884862224,249396.0,The Best of Becky Freeman,Becky Freeman,Inspirational Press (NY),8.0,http://images.amazon.com/images/P/0884862224.01.MZZZZZZZ.jpg
10,0590120700,201526.0,Pinocchio,Freya Littledale,Scholastic,0.0,http://images.amazon.com/images/P/0590120700.01.MZZZZZZZ.jpg
11,0689714823,16155.0,Cofa Sacagawea : American Pathfinder (Childhood Of Famous Americans),Flora Warren Seymour,Aladdin,0.0,http://images.amazon.com/images/P/0689714823.01.MZZZZZZZ.jpg
12,0385265700,21318.0,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,Anchor,0.0,http://images.amazon.com/images/P/0385265700.01.MZZZZZZZ.jpg
13,1557488177,168941.0,Women of the Bible (Value Book),Coleen Reece,Barbour Bargain Books,6.0,http://images.amazon.com/images/P/1557488177.01.MZZZZZZZ.jpg
14,0425109283,231994.0,The Dark on the Other Side,Barbara Michaels,Berkley Publishing Group,8.0,http://images.amazon.com/images/P/0425109283.01.MZZZZZZZ.jpg
15,0283988681,206979.0,Babyware,Penny Junor,Sidgwick &amp; Jackson,0.0,http://images.amazon.com/images/P/0283988681.01.MZZZZZZZ.jpg
